#No.      Date        Time         Lat.      Lon.        Dep.     Mag.   Coef.     N(*MAD)        Reference
  86   2012/09/02   03:40:46.330   37.7910   140.0000     8.20    0.90  0.6237   25.8440      20120902034421.21
  87   2012/09/02   03:40:59.330   37.7890   139.9980     7.90    1.64  0.5875   23.5526      20120902034301.07
  88   2012/09/02   03:41:19.600   37.7870   139.9970     7.40    0.17  0.4671   19.1494      20120902034343.16
  89   2012/09/02   03:41:30.370   37.7920   140.0030     7.20    2.50  1.0000   39.5481      20120902034130.37
  90   2012/09/02   03:42:21.390   37.7890   139.9960     6.30    0.31  0.3652   15.0907      20120902032626.52
  91   2012/09/02   03:42:36.820   37.7900   139.9980     7.70    2.50  1.0000   39.7398      20120902034236.82
  92   2012/09/02   03:42:46.780   37.7910   139.9950     8.00    2.37  0.5731   23.2789      20120902034541.57
  93   2012/09/02   03:43:01.070   37.7890   139.9980     7.90    2.60  1.0000   40.0660      20120902034301.07
  94   2012/09/02   03:43:21.020   37.7870   140.0030     7.20    1.31  0.3637   14.2449      20120902034130.37
  95   2012/09/02   03:43:32.900   37.7880   140.0010     8.20    1.75  0.7989   32.3245      20120902033403.83
  96   2012/09/02   03:43:43.160   37.7870   139.9970     7.40    2.10  1.0000   40.9818      20120902034343.16
  97   2012/09/02   03:44:08.250   37.7870   139.9970     7.40    0.57  0.3722   15.2611      20120902034343.16
  98   2012/09/02   03:44:21.210   37.7910   140.0000     8.20    2.20  1.0000   41.4315      20120902034421.21
  99   2012/09/02   03:44:31.970   37.7910   140.0000     8.20    1.61  0.6068   25.1433      20120902034421.21
 100   2012/09/02   03:44:55.630   37.7930   139.9990     8.20    0.78  0.5144   20.7622      20120902034748.15
 101   2012/09/02   03:45:13.740   37.7910   140.0000     8.20    0.23  0.5959   24.6911      20120902034421.21
 102   2012/09/02   03:45:23.100   37.7870   139.9970     7.40    0.60  0.8865   36.3308      20120902034343.16
 103   2012/09/02   03:45:29.600   37.7960   139.9650     7.80    0.34  0.3586   14.5473      20120902033351.61
 104   2012/09/02   03:45:41.570   37.7910   139.9950     8.00    2.90  1.0000   40.6070      20120902034541.57
 105   2012/09/02   03:45:59.020   37.7920   140.0030     7.20    2.11  0.5315   21.0296      20120902034130.37
 106   2012/09/02   03:46:08.850   37.7900   139.9940     8.40    2.20  1.0000   40.5129      20120902034608.85
 107   2012/09/02   03:46:17.260   37.7910   140.0000     8.20    1.75  0.5382   22.3024      20120902034421.21
 108   2012/09/02   03:46:31.540   37.7870   139.9970     7.40    1.29  0.6797   27.8613      20120902034343.16
 109   2012/09/02   03:46:40.390   37.7910   139.9950     8.20    1.28  0.5588   22.8125      20120902034421.21
 110   2012/09/02   03:46:51.730   37.7930   139.9990     8.20    0.58  0.3039   12.2685      20120902034748.15
 111   2012/09/02   03:47:07.880   37.7910   139.9950     8.20    0.30  0.4779   19.5118      20120902034421.21
 112   2012/09/02   03:47:21.130   37.7910   139.9940     8.40    0.75  0.7020   28.6825      20120902034823.31
 113   2012/09/02   03:47:38.280   37.7910   140.0000     8.00    0.92  0.6625   27.4249      20120902034541.57
 114   2012/09/02   03:47:48.150   37.7930   140.0040     8.20    3.20  1.0000   39.5413      20120902034748.15
 115   2012/09/02   03:48:23.310   37.7910   139.9940     8.40    2.20  1.0000   40.8542      20120902034823.31
 116   2012/09/02   03:48:33.350   37.7920   140.0030     7.20    1.27  0.3746   14.8275      20120902034130.37
 117   2012/09/02   03:48:45.140   37.7920   140.0030     7.20    1.12  0.4167   16.4893      20120902034130.37
 118   2012/09/02   03:48:58.480   37.7880   140.0010     8.20    1.52  0.6221   25.2366      20120902032413.12
 119   2012/09/02   03:49:05.090   37.7880   140.0010     8.20    1.64  0.8850   35.8942      20120902032413.12
 120   2012/09/02   03:49:13.610   37.7910   139.9940     8.40    1.06  0.3770   15.4115      20120902034823.31
 121   2012/09/02   03:49:21.060   37.7910   139.9940     8.40    1.11  0.4992   20.4036      20120902034823.31
 122   2012/09/02   03:49:29.750   37.7910   140.0000     8.20    1.70  0.6421   26.6064      20120902034421.21
 123   2012/09/02   03:49:40.410   37.7910   140.0050     7.80    1.41  0.8302   34.3456      20120902033351.61
 124   2012/09/02   03:49:55.160   37.7960   140.0000     7.80    1.62  0.6291   26.6869      20120902033351.61
 125   2012/09/02   03:50:03.120   37.7910   140.0000     8.00    1.07  0.5390   22.3202      20120902034541.57
 126   2012/09/02   03:50:09.980   37.7910   140.0050     8.20    0.73  0.3774   15.6275      20120902034421.21
 127   2012/09/02   03:50:22.880   37.7900   140.0030     7.70    0.76  0.5729   22.8514      20120902034236.82
 128   2012/09/02   03:50:48.940   37.7850   140.0030     7.70    1.16  0.5874   23.3905      20120902034236.82
 129   2012/09/02   03:51:01.840   37.7930   139.9990     8.20    0.83  0.5935   23.9551      20120902034748.15
 130   2012/09/02   03:51:10.480   37.7850   140.0030     7.70    1.39  0.5201   20.7105      20120902034236.82
 131   2012/09/02   03:51:33.420   37.7910   140.0050     7.80    0.19  0.3741   15.4935      20120902033351.61
 132   2012/09/02   03:51:43.330   37.7930   139.9990     8.20    0.46  0.5148   20.7801      20120902034748.15
 133   2012/09/02   03:51:50.480   37.7960   139.9950     8.20    0.19  0.4575   18.6411      20120902034421.21
 134   2012/09/02   03:51:57.510   37.7910   139.9940     8.40    0.72  0.7728   31.5746      20120902034823.31
 135   2012/09/02   03:52:15.850   37.7910   140.0000     8.20    0.99  0.6991   28.9681      20120902034421.21
 136   2012/09/02   03:52:29.070   37.7930   139.9990     8.20    0.32  0.4958   20.0126      20120902034748.15
 137   2012/09/02   03:52:37.180   37.7870   139.9970     7.40    0.31  0.7117   29.1706      20120902034343.16
 138   2012/09/02   03:52:43.500   37.7910   140.0000     8.00    0.24  0.4409   18.2633      20120902034541.57
 139   2012/09/02   03:52:52.500   37.7900   139.9990     8.40    0.84  0.5782   23.0383      20120902034608.85
 140   2012/09/02   03:53:01.100   37.7890   139.9960     6.30   -0.03  0.3402   14.0601      20120902032626.52
